Title,Price,Price_zscore
Big Mystery,45.0,0.7669718775230824
YeriMua Bad B*tch Lip Duo,12.0,-0.5625855361190614
The Travel Pink Bag,12.0,-0.5625855361190614
Murillo Twins Vol. 2 - LOVE ME NUDE Lip Kit,19.0,-0.28055820595254605
Louie Castro PR Box,59.4,1.3471423852941997
Brow Soap PR Box,16.0,-0.4014270617381955
Flawless Stay Prep & Prime Bundle Collection,22.8,-0.12745765529072337
Little Mystery,25.0,-0.038820494381247156
Availabilippy Lip Kits,12.0,-0.5625855361190614
Murillo Twins Vol. 2 - Define Me Contour Sticks,16.0,-0.4014270617381955
YeriMua Shadow and Face Palette,20.0,-0.24026858735732953
LesDoMakeup Lip Trio Bundle,22.8,-0.12745765529072337
Flawless Stay Prep & Set Mini,12.0,-0.5625855361190614
Dare To Be Bright Color Base Primer Set,26.4,0.01758497165205586
YeriMua PR Box,79.0,2.136818909760443
Rosy McMichael Vol 2 PR,69.0,1.733922723808278
Winter Spice Shadow Palette,10.0,-0.6431647733094943
YeriMua My Faves Lip Trio,16.0,-0.4014270617381955
Murillo Twins Vol. 2 - CHEEK CHECK Blush Sticks,16.0,-0.4014270617381955
Lash Mystery Box,20.0,-0.24026858735732953
Dare To Be Bright Gel Liner Set,28.8,0.1142800562805755
Murillo Twins Vol. 2 - PR + Woven Tote Bag,99.0,2.9426112816647723
Plump & Pout Bundle,16.8,-0.36919536686202226
Murillo Twins Vol. 2 - PR,89.0,2.5397150957126073
Luis Torres Vol 2 It's a Vibe Face Palette,22.0,-0.1596893501668966
Setting Spray Minis Vol. 3,14.4,-0.4658904514905418
Murillo Twins Vol. 2 - FIRE & DESIRE Lashes,16.0,-0.4014270617381955
LesDoMakeup Stay Focus  Dual Ended Lip Liner & Tinted Oil,10.0,-0.6431647733094943
No Simpin' Lash Duo,7.2,-0.7559757053761005
Louie Castro Fuego Lip Trio,19.0,-0.28055820595254605
Dare To Be Bright Gel Pot Set,20.4,-0.224152739919243
Casually Lashed Faux Mink Lash Set,25.0,-0.038820494381247156
Lash Flex Holiday Set,10.0,-0.6431647733094943
THE BOLD LIP SET,25.0,-0.038820494381247156
3D Silk Lash Collection,6.0,-0.8043232476903602
THE LUST LIP SET,25.0,-0.038820494381247156
LesDoMakeup PR Box Full Collection,74.0,1.9353708167843604
Your Best Nude Lip Set,15.0,-0.44171668033341194
ROSY MCMICHAEL VOL 2 - The Not-So Classic Kit,19.0,-0.28055820595254605
Ultra Dazzle Lipgloss Bundle Collection,75.0,1.9756604353795768
Lost in Luv Lash Duo,6.0,-0.8043232476903602
Mauve Mood velvet Stay Lip Set,18.0,-0.3208478245477625
Always & Forever Lip Duo,6.0,-0.8043232476903602
Murillo Twins Vol. 2 - TWINTUTION Eyeliners,12.0,-0.5625855361190614
Louie Castro Lip Trio Bundle,20.0,-0.24026858735732953
Louie Castro Full Perra Potential Faux Mink Lashes,16.0,-0.4014270617381955
3D Faux Mink Lash Set,16.0,-0.4014270617381955
Take Me Somewhere Silk Lash Collection,3.0,-0.9251921034760097
Pink Sleek and Brow Razor Set,4.0,-0.8849024848807931
Rosegold Eyelash Curler and Tweezer Set,6.0,-0.8043232476903602
Plump & Pout Lip Plumping Boosters (3 Pack),12.6,-0.5384117649619315
Snuggled Up 3D Silk Lash Set,5.4,-0.8284970188474902
Plump & Pout Vol. 2 PR,16.8,-0.36919536686202226
ELFIE Holiday Lip Duos,12.0,-0.5625855361190614
Kiss n Tell Lip Duo,6.0,-0.8043232476903602
Body Collection Lotion and Mist Sets,17.0,-0.36113744314297896
LesDoMakeup Liquid Blush & Highlight,16.0,-0.4014270617381955
Louie Castro The Chi Chi Blenders Duo,12.0,-0.5625855361190614
Luis Torres Vol 2 True Treasures Cream Shadow Crayons,7.0,-0.7640336290951437
Flawless Stay Concealer Bundle,126.0,4.030430983735617
ROSY MCMICHAEL VOL 2 - The Liquid Chrome Trio,10.0,-0.6431647733094943
All About You pH Lip Oil 6pc Bundle,18.0,-0.3208478245477625
Red Desire Velvet Stay Lip Set,17.4,-0.34502159570489244
Draw The Line Overachiever Liquid Liner Gift Set,9.6,-0.6592806207475809
Earth Toned Blending Sponge Set,13.0,-0.5222959175238449
5PC Set Soft Silk Lashes,9.0,-0.6834543919047108
Nude X 12 Piece Brush Set,24.0,-0.07911011297646363
"Sunkissed Glitter Set w/Glitter Primer (#9, 8, 5, 6, & GLITTER PRIMER)",12.0,-0.5625855361190614
Glowy Pout - Lip Oil Set,9.0,-0.6834543919047108
LesDoMakeup PR Box Full Collection with Bag,84.0,2.338267002736525
Bebella - All Day Seal Set,6.5,-0.784178438392752
Blush Hush Bundle,40.8,0.5977554794231731
The Nine Step Skincare Collection Bundle,99.0,2.9426112816647723
"Pink Ladies Glitter Set w/ (#4, 3, 14, 1 & Glitter Primer)",12.0,-0.5625855361190614
Bye Filter Bundle,27.0,0.0417587428091858
Pastel Please Lip Balm Set,18.0,-0.3208478245477625
Circus Shadow Collection Bundle,24.0,-0.07911011297646363
12 Days of Mischief Advent Calendar,29.4,0.1384538274377053
PURPLE PLUM LIPSTICK SET,25.0,-0.038820494381247156
35MM Faux Mink Lash Set,25.0,-0.038820494381247156
Nude X PR Box,99.0,2.9426112816647723
The Five Step Essentials Skincare Kit,59.0,1.331026537856113
YeriMua Collection Bundle,35.0,0.3640756915709176
Glitterally Perfect BUNDLES - Glitter Liners,18.0,-0.3208478245477625
Pink Cloud Setting Powder + Puff Set Talc Free,12.0,-0.5625855361190614
Snatchural Bundle with Brush,48.0,0.8878407333087318
Watermelon Lip Scrub & Mask Set,9.0,-0.6834543919047108
Pastel Please Gel Pots Set,18.0,-0.3208478245477625
Luis Torres Vol 2 My Essentials Shadow Sponge Sticks,7.0,-0.7640336290951437
Bratz X Beauty Creations Kiss N' Makeup Lip Plumping Duo,12.0,-0.5625855361190614
Pastel Please Gel Liners Set,18.0,-0.3208478245477625
Dragonfruit Setting Spray,7.0,-0.7640336290951437
Blend and set trio,8.0,-0.7237440104999273
"Beauty Creations x My Little Pony ""I Want A Pony"" Reusable Cup with Blenders",12.0,-0.5625855361190614
"Beauty Creations x My Little Pony ""Pony Talk"" Lip Plumper",7.0,-0.7640336290951437
"Festival Season Glitter Set (#16, 15, 13, 10 & Glitter Primer)",12.0,-0.5625855361190614
Snatchural Bronze Palette + Brush Set,12.6,-0.5384117649619315
Pastel Please Color Base Primers Set,23.0,-0.11939973157168011
Flawless Stay All You Need Prep and Prime Set,14.0,-0.4820062989286284
Pink Brow & Lash Set,12.0,-0.5625855361190614
Bye Filter Setting Powder + Puff Set,12.0,-0.5625855361190614
Strawberry Lip Scrub & Mask Set,9.0,-0.6834543919047108
Glitterally Perfect Collection Set - Glitter Liners,24.0,-0.07911011297646363
Murillo Twins Vol. 2 - Double Take Hand Held Mirror,12.0,-0.5625855361190614
Bebella - Let's Hydrate Set,6.5,-0.784178438392752
"Metallic Dream Glitter Set (#18, 12,11, 10 & Glitter Primer)",12.0,-0.5625855361190614
Bratz X Beauty Creations Girls Nite Full Collection,125.0,3.9901413651404005
